_X,_Y,ID,Coordinates,,,,,,,,,,
14,20.87,76,"POINT 14,20.87",,,,,,,,,,
14.5,5,77,"POINT 14.5,5",,,,,,,,,,
14.5,20.87,78,"POINT 14.5,20.87",,,,,,,,,,
15,5,79,"POINT 15,5",,,,,,,,,,
15,20.87,80,"POINT 15,20.87",,,,,,,,,,
15.5,5,81,"POINT 15.5,5",,,,,,,,,,
15.5,20.87,82,"POINT 15.5,20.87",,,,,,,,,,
16,5,83,"POINT 16,5",,,,,,,,,,
16,20.87,84,"POINT 16,20.87",,,,,,,,,,
16.5,5,85,"POINT 16.5,5",,,,,,,,,,
16.5,20.87,86,"POINT 16.5,20.87",,,,,,,,,,
17,5,87,"POINT 17,5",,,,,,,,,,
17,20.87,88,"POINT 17,20.87",,,,,,,,,,
17.5,5,89,"POINT 17.5,5",,,,,,,,,,
17.5,5.5,90,"POINT 17.5,5.5",,,,,,,,,,
17.5,6,91,"POINT 17.5,6",,,,,,,,,,
17.5,6.5,92,"POINT 17.5,6.5",,,,,,,,,,
17.5,7,93,"POINT 17.5,7",,,,,,,,,,
17.5,7.5,94,"POINT 17.5,7.5",,,,,,,,,,
17.5,8,95,"POINT 17.5,8",,,,,,,,,,
17.5,8.5,96,"POINT 17.5,8.5",,,,,,,,,,
17.5,9,97,"POINT 17.5,9",,,,,,,,,,
17.5,9.5,98,"POINT 17.5,9.5",,,,,,,,,,
17.5,10,99,"POINT 17.5,10",,,,,,,,,,
17.5,10.5,100,"POINT 17.5,10.5",,,,,,,,,,
17.5,11,101,"POINT 17.5,11",,,,,,,,,,
17.5,11.5,102,"POINT 17.5,11.5",,,,,,,,,,map
17.5,12,103,"POINT 17.5,12",,,,,,,,,,
17.5,12.5,104,"POINT 17.5,12.5",,,,,,,,,,
17.5,13,105,"POINT 17.5,13",,,,,,,,,,
17.5,13.5,106,"POINT 17.5,13.5",,,,,,,,,,
17.5,14,107,"POINT 17.5,14",,,,,,,,,,
17.5,14.5,108,"POINT 17.5,14.5",,,,,,,,,,
17.5,15,109,"POINT 17.5,15",,,,,,,,,,
17.5,15.5,110,"POINT 17.5,15.5",,,,,,,,,,
17.5,16,111,"POINT 17.5,16",,,,,,,,,,
17.5,16.5,112,"POINT 17.5,16.5",,,,,,,,,,
17.5,17,113,"POINT 17.5,17",,,,,,,,,,
17.5,17.5,114,"POINT 17.5,17.5",,,,,,,,,,
17.5,18,115,"POINT 17.5,18",,,,,,,,,,
17.5,18.5,116,"POINT 17.5,18.5",,,,,,,,,,
17.5,19,117,"POINT 17.5,19",,,,,,,,,,
17.5,19.5,118,"POINT 17.5,19.5",,,,,,,,,,
17.5,20.5,119,"POINT 17.5,20.5",,,,,,,,,,
17.5,20.87,120,"POINT 17.5,20.87",,,,,,,,,,
11,20.87,121,"POINT 11,20.87",,,,,,,,,,
10.5,20.87,122,"POINT 10.5,20.87",,,,,,,,,,
17.5,23,123,"POINT 17.5,23",,,,,,,,,,
17.5,23.28,124,"POINT 17.5,23.28",,,,,,,,,,
18,23.28,125,"POINT 18,23.28",,,,,,,,,,
18.5,23.28,126,"POINT 18.5,23.28",,,,,,,,,,
19,23.28,127,"POINT 19,23.28",,,,,,,,,,
19.5,23.28,128,"POINT 19.5,23.28",,,,,,,,,,
20,23.28,129,"POINT 20,23.28",,,,,,,,,,
20.5,23.28,130,"POINT 20.5,23.28",,,,,,,,,,
21,23.28,131,"POINT 21,23.28",,,,,,,,,,
21.5,23.28,132,"POINT 21.5,23.28",,,,,,,,,,
22,23.28,133,"POINT 22,23.28",,,,,,,,,,
22.5,23.28,134,"POINT 22.5,23.28",,,,,,,,,,
23,23.28,135,"POINT 23,23.28",,,,,,,,,,
23.5,23.28,136,"POINT 23.5,23.28",,,,,,,,,,
24.29,23.28,137,"POINT 24.29,23.28",,,,,,,,,,
24.29,23.78,138,"POINT 24.29,23.78",,,,,,,,,,
24.29,24.03,139,"POINT 24.29,24.03",,,,,,,,,,
24.29,24.28,140,"POINT 24.29,24.28",,,,,,,,,,
24.29,24.75,141,"POINT 24.29,24.75",,,,,,,,,,
24.79,24.75,142,"POINT 24.79,24.75",,,,,,,,,,
25.29,24.75,143,"POINT 25.29,24.75",,,,,,,,,,
25.79,24.75,144,"POINT 25.79,24.75",,,,,,,,,,
26.29,24.75,145,"POINT 26.29,24.75",,,,,,,,,,
26.79,24.75,146,"POINT 26.79,24.75",,,,,,,,,,
27.29,24.75,147,"POINT 27.29,24.75",,,,,,,,,,
27.79,24.75,148,"POINT 27.79,24.75",,,,,,,,,,
28.29,24.75,149,"POINT 28.29,24.75",,,,,,,,,,
28.79,24.75,150,"POINT 28.79,24.75",,,,,,,,,,
29.29,6.95,151,"POINT 29.29,6.95",,,,,,,,,,
29.29,7.75,152,"POINT 29.29,7.75",,,,,,,,,,
29.29,9.25,153,"POINT 29.29,9.25",,,,,,,,,,
29.29,9.75,154,"POINT 29.29,9.75",,,,,,,,,,
29.29,10.25,155,"POINT 29.29,10.25",,,,,,,,,,
29.29,10.75,156,"POINT 29.29,10.75",,,,,,,,,,
29.29,11.25,157,"POINT 29.29,11.25",,,,,,,,,,
29.29,11.75,158,"POINT 29.29,11.75",,,,,,,,,,
29.29,12.25,159,"POINT 29.29,12.25",,,,,,,,,,
29.29,12.75,160,"POINT 29.29,12.75",,,,,,,,,,
29.29,13.25,161,"POINT 29.29,13.25",,,,,,,,,,
29.29,13.75,162,"POINT 29.29,13.75",,,,,,,,,,
29.29,14.25,163,"POINT 29.29,14.25",,,,,,,,,,
29.29,14.75,164,"POINT 29.29,14.75",,,,,,,,,,
29.29,15.25,165,"POINT 29.29,15.25",,,,,,,,,,
29.29,15.75,166,"POINT 29.29,15.75",,,,,,,,,,
29.29,16.25,167,"POINT 29.29,16.25",,,,,,,,,,
29.29,16.75,168,"POINT 29.29,16.75",,,,,,,,,,
29.29,17.25,169,"POINT 29.29,17.25",,,,,,,,,,
29.29,17.75,170,"POINT 29.29,17.75",,,,,,,,,,
29.29,18.25,171,"POINT 29.29,18.25",,,,,,,,,,
29.29,18.75,172,"POINT 29.29,18.75",,,,,,,,,,
29.29,19.25,173,"POINT 29.29,19.25",,,,,,,,,,
29.29,19.75,174,"POINT 29.29,19.75",,,,,,,,,,
29.29,20.25,175,"POINT 29.29,20.25",,,,,,,,,,
29.29,20.75,176,"POINT 29.29,20.75",,,,,,,,,,
29.29,21.25,177,"POINT 29.29,21.25",,,,,,,,,,
29.29,21.75,178,"POINT 29.29,21.75",,,,,,,,,,
29.29,22.25,179,"POINT 29.29,22.25",,,,,,,,,,
29.29,22.75,180,"POINT 29.29,22.75",,,,,,,,,,
29.29,23.25,181,"POINT 29.29,23.25",,,,,,,,,,
29.29,23.75,182,"POINT 29.29,23.75",,,,,,,,,,
29.29,24.25,183,"POINT 29.29,24.25",,,,,,,,,,
29.29,24.75,184,"POINT 29.29,24.75",,,,,,,,,,
29.79,6.95,185,"POINT 29.79,6.95",,,,,,,,,,
29.79,23.25,186,"POINT 29.79,23.25",,,,,,,,,,
30.29,6.95,187,"POINT 30.29,6.95",,,,,,,,,,
30.29,23.25,188,"POINT 30.29,23.25",,,,,,,,,,
30.79,6.95,189,"POINT 30.79,6.95",,,,,,,,,,
30.79,23.25,190,"POINT 30.79,23.25",,,,,,,,,,
31.29,6.95,191,"POINT 31.29,6.95",,,,,,,,,,
31.79,6.95,192,"POINT 31.79,6.95",,,,,,,,,,
31.29,23.25,193,"POINT 31.29,23.25",,,,,,,,,,
32.29,6.95,194,"POINT 32.29,6.95",,,,,,,,,,
32.09,24.75,195,"POINT 32.09,24.75",,,,,,,,,,
32.09,25.25,196,"POINT 32.09,25.25",,,,,,,,,,
32.09,25.75,197,"POINT 32.09,25.75",,,,,,,,,,
32.09,26.25,198,"POINT 32.09,26.25",,,,,,,,,,
32.09,26.75,199,"POINT 32.09,26.75",,,,,,,,,,
32.09,27.52,200,"POINT 32.09,27.52",,,,,,,,,,
33.79,6.95,201,"POINT 33.79,6.95",,,,,,,,,,map
32.59,27.52,202,"POINT 32.59,27.52",,,,,,,,,,
34.29,6.95,203,"POINT 34.29,6.95",,,,,,,,,,
33.37,27.52,204,"POINT 33.37,27.52",,,,,,,,,,
33.91,27.52,205,"POINT 33.91,27.52",,,,,,,,,,
34.53,6.95,206,"POINT 34.53,6.95",,,,,,,,,,
34.6,27.52,207,"POINT 34.6,27.52",,,,,,,,,,
35.03,6.95,213,"POINT 35.03,6.95",,,,,,,,,,
35.1,27.52,219,"POINT 35.1,27.52",,,,,,,,,,
35.53,6.95,221,"POINT 35.53,6.95",,,,,,,,,,
35.81,27.52,223,"POINT 35.81,27.52",,,,,,,,,,
36.31,6.95,225,"POINT 36.31,6.95",,,,,,,,,,
36.35,27.52,227,"POINT 36.35,27.52",,,,,,,,,,
36.83,6.95,229,"POINT 36.83,6.95",,,,,,,,,,
36.99,27.52,231,"POINT 36.99,27.52",,,,,,,,,,
37.49,6.95,233,"POINT 37.49,6.95",,,,,,,,,,
37.53,27.52,235,"POINT 37.53,27.52",,,,,,,,,,
38.09,6.95,237,"POINT 38.09,6.95",,,,,,,,,,
38.09,27.52,239,"POINT 38.09,27.52",,,,,,,,,,
38.53,6.95,241,"POINT 38.53,6.95",,,,,,,,,,
38.59,27.52,243,"POINT 38.59,27.52",,,,,,,,,,
39.03,6.95,245,"POINT 39.03,6.95",,,,,,,,,,
39.09,27.52,247,"POINT 39.09,27.52",,,,,,,,,,
39.53,6.95,249,"POINT 39.53,6.95",,,,,,,,,,
39.59,27.52,251,"POINT 39.59,27.52",,,,,,,,,,
40.03,6.95,253,"POINT 40.03,6.95",,,,,,,,,,
40.09,27.52,255,"POINT 40.09,27.52",,,,,,,,,,
40.53,6.95,257,"POINT 40.53,6.95",,,,,,,,,,
40.59,27.52,259,"POINT 40.59,27.52",,,,,,,,,,
29.29,8.75,309,"POINT 29.29,8.75",,,,,,,,,,
29.29,8.25,310,"POINT 29.29,8.25",,,,,,,,,,
32.09,24.25,311,"POINT 32.09,24.25",,,,,,,,,,
32.09,23.75,312,"POINT 32.09,23.75",,,,,,,,,,
32.09,23.25,313,"POINT 32.09,23.25",,,,,,,,,,
17.5,22.5,317,"POINT 17.5,22.5",,,,,,,,,,
35.03,9.35,337,"POINT 34.53,9.35",,,,,,,,,,
36.44,9.35,226,"POINT 35.94,9.35",,,,,,,,,,
36.92,9.35,230,"POINT 36.42,9.35",,,,,,,,,,
37.54,9.35,234,"POINT 37.14,9.35",,,,,,,,,,
38.12,9.35,238,"POINT 37.62,9.35",,,,,,,,,,
35.53,9.35,222,"POINT 35.03,9.35",,,,,,,,,,
35.03,9.35,218,"POINT 35.53,9.35",,,,,,,,,,
38.56,9.35,242,"POINT 38.06,9.35",,,,,,,,,,
35.03,7.51,214,"POINT 34.53,7.51",,,,,,,,,,
35.03,8.85,217,"POINT 34.53,8.85",,,,,,,,,,
35.03,7.96,215,"POINT 34.53,7.96",,,,,,,,,,
35.03,8.41,216,"POINT 34.53,8.41",,,,,,,,,,

