_X,_Y,ID,,Cordinates
17.5,23,108,,"POINT 17.5,23"
17.5,23.5,109,,"POINT 17.5,23.5"
17,21,110,,"POINT 17,21"
16.5,21,111,,"POINT 16.5,21"
16,21,112,,"POINT 16,21"
15.5,21,113,,"POINT 15.5,21"
15,21,114,,"POINT 15,21"
14.5,21,115,,"POINT 14.5,21"
14,21,116,,"POINT 14,21"
13.5,21,117,,"POINT 13.5,21"
13,21,118,,"POINT 13,21"
12.5,21,119,,"POINT 12.5,21"
12,21,120,,"POINT 12,21"
11,21,121,,"POINT 11,21"
10.5,21,122,,"POINT 10.5,21"
11.5,21.5,123,,"POINT 11.5,21.5"
11.5,22,124,,"POINT 11.5,22"
11.5,22.5,125,,"POINT 11.5,22.5"
11.5,23,126,,"POINT 11.5,23"
11,23.5,127,,"POINT 11,23.5"
10.5,23.5,128,,"POINT 10.5,23.5"
11.5,20.5,129,,"POINT 11.5,20.5"
11.5,20,130,,"POINT 11.5,20"
11.5,19.5,131,,"POINT 11.5,19.5"
11.5,19,132,,"POINT 11.5,19"
11.5,18,133,,"POINT 11.5,18"
11.5,17.5,134,,"POINT 11.5,17.5"
11.5,17,135,,"POINT 11.5,17"
11.5,16.5,136,,"POINT 11.5,16.5"
11.5,16,137,,"POINT 11.5,16"
11.5,15.5,138,,"POINT 11.5,15.5"
11,18.5,139,,"POINT 11,18.5"
11,15,140,,"POINT 11,15"
10.5,18.5,141,,"POINT 10.5,18.5"
10.5,15,142,,"POINT 10.5,15"
18,23.5,143,,"POINT 18,23.5"
18.5,23.5,144,,"POINT 18.5,23.5"
19,23.5,145,,"POINT 19,23.5"
19.5,23.5,146,,"POINT 19.5,23.5"
20,23.5,147,,"POINT 20,23.5"
20.5,23.5,148,,"POINT 20.5,23.5"
21,23.5,149,,"POINT 21,23.5"
21.5,23.5,150,,"POINT 21.5,23.5"
22,23.5,151,,"POINT 22,23.5"
22.5,23.5,152,,"POINT 22.5,23.5"
23,23.5,153,,"POINT 23,23.5"
23.5,23.5,154,,"POINT 23.5,23.5"
24,24,155,,"POINT 24,24"
24,24.5,156,,"POINT 24,24.5"
24,25,157,,"POINT 24,25"
24.5,25.5,158,,"POINT 24.5,25.5"
25,25.5,159,,"POINT 25,25.5"
25.5,25.5,160,,"POINT 25.5,25.5"
26,25.5,161,,"POINT 26,25.5"
26.5,25.5,162,,"POINT 26.5,25.5"
27,25.5,163,,"POINT 27,25.5"
27.5,25.5,164,,"POINT 27.5,25.5"
28,25.5,165,,"POINT 28,25.5"
28.5,25.5,166,,"POINT 28.5,25.5"
29,25,167,,"POINT 29,25"
29,24.5,168,,"POINT 29,24.5"
29,23.5,169,,"POINT 29,23.5"
29,23,170,,"POINT 29,23"
29,22.5,171,,"POINT 29,22.5"
29,22,172,,"POINT 29,22"
29,21.5,173,,"POINT 29,21.5"
29,21,174,,"POINT 29,21"
29,20.5,175,,"POINT 29,20.5"
29,20,176,,"POINT 29,20"
29,19.5,177,,"POINT 29,19.5"
29,19,178,,"POINT 29,19"
29,18.5,179,,"POINT 29,18.5"
29,18,180,,"POINT 29,18"
29,17.5,181,,"POINT 29,17.5"
29,17,182,,"POINT 29,17"
29,16.5,183,,"POINT 29,16.5"
29,16,184,,"POINT 29,16"
29,15.5,185,,"POINT 29,15.5"
29,15,186,,"POINT 29,15"
29,14.5,187,,"POINT 29,14.5"
29,14,188,,"POINT 29,14"
29,13.5,189,,"POINT 29,13.5"
29,13,190,,"POINT 29,13"
29,12.5,191,,"POINT 29,12.5"
29,12,192,,"POINT 29,12"
29,11.5,193,,"POINT 29,11.5"
29,11,194,,"POINT 29,11"
29,10.5,195,,"POINT 29,10.5"
29,10,196,,"POINT 29,10"
29,9.5,197,,"POINT 29,9.5"
29,9,198,,"POINT 29,9"
29,24,199,,"POINT 29,24"
29.5,24,200,,"POINT 29.5,24"
30,24,201,,"POINT 30,24"
30.5,24,202,,"POINT 30.5,24"
31,24,203,,"POINT 31,24"
31.5,24,204,,"POINT 31.5,24"
29,8.5,205,,"POINT 29,8.5"
29.5,8,206,,"POINT 29.5,8"
30,8,207,,"POINT 30,8"
30.5,8,208,,"POINT 30.5,8"
31,8,209,,"POINT 31,8"
31.5,8,210,,"POINT 31.5,8"
32,8,211,,"POINT 32,8"
32.5,8,212,,"POINT 32.5,8"
33,8,213,,"POINT 33,8"
33.5,8,214,,"POINT 33.5,8"
34,8,215,,"POINT 34,8"
35,8,216,,"POINT 35,8"
35.5,8,217,,"POINT 35.5,8"
38.5,8,218,,"POINT 38.5,8"
39,8,219,,"POINT 39,8"
39.5,8,220,,"POINT 39.5,8"
40,8,221,,"POINT 40,8"
29,8,222,,"POINT 29,8"
32,24.5,223,,"POINT 32,24.5"
32,25,224,,"POINT 32,25"
32,25.5,225,,"POINT 32,25.5"
32,26,226,,"POINT 32,26"
32,26.5,227,,"POINT 32,26.5"
32,27,228,,"POINT 32,27"
32,27.5,229,,"POINT 32,27.5"
32.5,28,230,,"POINT 32.5,28"
38,28,231,,"POINT 38,28"
38.5,28,232,,"POINT 38.5,28"
39,28,233,,"POINT 39,28"
39.5,28,234,,"POINT 39.5,28"
40,28,235,,"POINT 40,28"
40.5,28,236,,"POINT 40.5,28"
